date,open,max,min,close,volume,spread
2026-07-24,401.0,448.0,397.5,426.5,25336927,19.0
2026-07-27,434.0,467.5,421.5,448.5,35422299,22.0
2026-07-28,423.0,454.5,422.5,427.0,33197268,-21.5
2026-07-29,427.5,433.0,384.5,384.5,17717454,-42.5
2026-07-30,347.0,377.5,346.5,346.5,2394422,-38.0
2026-07-31,380.5,380.5,360.0,370.0,2636148,23.5
2026-08-03,371.5,407.0,371.5,407.0,2637395,37.0
2026-08-04,425.0,447.5,425.0,447.5,3297147,40.5
2026-08-05,492.0,492.0,480.0,492.0,7055317,44.5
2026-08-06,472.5,494.5,472.5,488.0,3293779,-4.0
2026-08-07,494.0,498.0,473.0,488.0,2430368,0.0
2026-08-10,517.0,536.0,508.0,536.0,9418965,48.0
2026-08-11,520.0,558.0,506.0,510.0,20576802,-26.0
2026-08-12,529.0,561.0,529.0,561.0,17490193,51.0
2026-08-13,579.0,615.0,560.0,564.0,26515636,3.0
2026-08-14,550.0,565.0,508.0,522.0,4099875,-42.0
2026-08-17,540.0,545.0,521.0,545.0,1671924,23.0
2026-08-18,550.0,550.0,515.0,528.0,2080632,-17.0
2026-08-19,495.0,533.0,495.0,529.0,1349596,1.0
