date,open,max,min,close,volume,spread
2026-08-19,392.0,413.0,391.0,393.5,5308156,-15.0
2026-08-20,402.5,418.5,401.0,408.5,4979209,15.0
2026-08-21,407.0,410.5,394.0,397.0,3418276,-11.5
2026-08-24,397.0,411.0,388.0,388.5,3247872,-8.5
2026-08-25,384.0,404.0,373.5,404.0,3896338,15.5
2026-08-26,404.0,437.5,398.5,418.5,8167498,14.5
2026-08-27,429.0,430.0,415.0,422.5,5113803,4.0
2026-08-28,433.5,463.5,426.0,454.0,16137795,31.5
2026-08-31,442.5,461.0,423.5,435.0,9134188,-19.0
2026-09-01,435.0,465.0,430.0,450.0,8753655,15.0
2026-09-02,445.0,461.0,438.5,459.0,7186775,9.0
2026-09-03,461.0,462.0,413.5,413.5,14442146,-45.5
2026-09-04,425.0,426.0,413.0,420.0,6332673,6.5
2026-09-07,445.0,462.0,444.0,462.0,13046649,42.0
2026-09-08,441.0,461.0,431.0,450.0,15127276,-12.0
